name,verdict
Smart Add Healthcare Ltd,DROP
Tailored Care Services Limited,DROP
Amberleigh Care Limited,DROP
Southcroft Healthcare Lodge,KEEP
Thanet Healthcare,KEEP
Upward Care Limited,KEEP
Voyage Specialist Healthcare,KEEP
Advance Social Care limited,KEEP
Ash House Care Ltd,KEEP
Smartadd Healthcare Ltd,DROP
Living Hope Healthcare Ltd,DROP
Lorablooms Care Services Limited,DROP
Mary Ruth Care Services Limited,DROP
Merit Care Ltd,DROP
Moniks Care Services Limited,DROP
Naid Care Limited,DROP
P.G.S Healthcare Limited,DROP
Prof-care Limited,DROP
Primrose Healthcare Solutions Services Limited,DROP
Maison Care Limited,KEEP
Maria Mallaband Care Group (MMCG) & Countrywide,KEEP
Parkside Care Ltd,KEEP
Harlon Healthcare Limited,DROP
Innovations in Care Limited,DROP
Kardinal Healthcare Ltd,DROP
Millbrook Healthcare Ltd,DROP
Milo Care Services Limited,DROP
Priority Plus Care Ltd,DROP
Resolute Care LTD,DROP
shamah support healthcare ltd,DROP
Meadows Care Limited,KEEP
Milewood Healthcare Ltd,KEEP
PSA Care Ltd,KEEP
Rise Above Care Limited,KEEP
TH Homely Care Services (THR Services),DROP
Victory Care Ltd,DROP
Strive To Be Independent,DROP
Choices,DROP
New Directions Flexible Social Care Solutions,DROP
Alpha Health and Social Care Services Ltd,DROP
Caremark (Redcar & Cleveland),DROP
Access24 Healthcare Ltd,KEEP
Abimatic Care Ltd,KEEP
4life healthcare services ltd,KEEP
247 Excellent Quality Care ltd,KEEP
3BN Care Ltd,KEEP
Accolade Support and Care ltd,KEEP
Alpha Care Services Limited,KEEP
Alpha Health and Social Care Services Ltd,KEEP
Amara Care Ltd,KEEP
Amberleigh Care Limited,KEEP
Angel Healthcare professionals ltd,KEEP
Angel and Star Care Services,KEEP
Arreta Care Limited,KEEP
Ashvic 24/7 Quality Care Services Limited,KEEP
BWA Health and Care Services Limited,KEEP
Barmat Healthcare,KEEP
Blue Lotus Healthcare Ltd,KEEP
Blue Swan Health Care Limited,KEEP
Carlton Care Group,KEEP
Cardea Healthcare,KEEP
Mk Care Services Limited,KEEP
Moore Care Ltd,KEEP
